source_ward_id,source_state,source_lga,source_ward,inec_ward_code,confidence,reason,action
1,Adamawa,Demsa,Bille,AD-01-01,1.000,exact,loaded
2,Adamawa,Demsa,Borrong,AD-01-02,1.000,exact,loaded
3,Adamawa,Demsa,Demsa,AD-01-03,1.000,exact,loaded
4,Adamawa,Demsa,Dilli,AD-01-04,1.000,exact,loaded
5,Adamawa,Demsa,Dong,AD-01-05,1.000,exact,loaded
6,Adamawa,Demsa,Dwam,AD-01-06,1.000,exact,loaded
7,Adamawa,Demsa,Gwamba,AD-01-07,1.000,exact,loaded
8,Adamawa,Demsa,Kpasham,AD-01-08,1.000,exact,loaded
9,Adamawa,Demsa,Mbula,AD-01-09,1.000,exact,loaded
10,Adamawa,Demsa,Nassarawo Demsa,AD-01-10,1.000,exact,loaded
11,Adamawa,Fufore,Beti,AD-02-01,1.000,exact,loaded
12,Adamawa,Fufore,Farang,AD-02-02,1.000,exact,loaded
13,Adamawa,Fufore,Fufore,AD-02-03,1.000,exact,loaded
14,Adamawa,Fufore,Gurin,AD-02-04,1.000,exact,loaded
15,Adamawa,Fufore,Karlahi,AD-02-05,1.000,exact,loaded
16,Adamawa,Fufore,Mayo Inne,AD-02-06,1.000,exact,loaded
17,Adamawa,Fufore,Pariya,AD-02-07,1.000,exact,loaded
18,Adamawa,Fufore,Ribadu,AD-02-08,1.000,exact,loaded
19,Adamawa,Fufore,Uki Tuki,AD-02-09,1.000,exact,loaded
20,Adamawa,Fufore,Wuro Bokki,AD-02-10,1.000,exact,loaded
21,Adamawa,Fufore,Yadim,AD-02-11,1.000,exact,loaded
22,Adamawa,Ganye,Bakari Goso,AD-03-01,1.000,exact,loaded
23,Adamawa,Ganye,Gamu,AD-03-02,1.000,exact,loaded
24,Adamawa,Ganye,Ganye 1,AD-03-03,0.857,needs_review,skipped_low_confidence
25,Adamawa,Ganye,Ganye 2,AD-03-03,0.857,needs_review,skipped_low_confidence
26,Adamawa,Ganye,Gurumpawo,AD-03-05,1.000,exact,loaded
27,Adamawa,Ganye,Jaggu,AD-03-06,1.000,exact,loaded
28,Adamawa,Ganye,Sangassumi,AD-03-07,1.000,exact,loaded
29,Adamawa,Ganye,Sugu,AD-03-08,1.000,exact,loaded
30,Adamawa,Ganye,Timdore,AD-03-09,1.000,exact,loaded
31,Adamawa,Ganye,Yebbi,AD-03-10,1.000,exact,loaded
32,Adamawa,Girei,Dakri,AD-04-01,1.000,exact,loaded
33,Adamawa,Girei,Damare,AD-04-02,1.000,exact,loaded
34,Adamawa,Girei,Gereng,AD-04-05,1.000,exact,loaded
35,Adamawa,Girei,Girei 1,AD-04-03,0.857,needs_review,skipped_low_confidence
36,Adamawa,Girei,Girei 2,AD-04-03,0.857,needs_review,skipped_low_confidence
